Fold	Epoch	Time	RMSE_tr	R2_tr	MAE_te	RMSE_te	R2_te	PCC_te	SCC_te
5	25	2557.7	0.6608	0.8101	1.432	1.8492	-0.3088	0.0712	0.059
5	26	2659.3	0.6579	0.8118	1.4508	1.8667	-0.3337	0.053	0.0562
5	27	2762.1	0.6538	0.8142	1.4599	1.8705	-0.3391	0.065	0.0587
5	28	2864.8	0.6509	0.8158	1.434	1.8379	-0.2928	0.0663	0.0624
5	29	2966.4	0.6466	0.8182	1.4453	1.8596	-0.3236	0.0728	0.0666
5	30	3069.0	0.6263	0.8294	1.4399	1.85	-0.3099	0.0591	0.0581
5	31	3171.9	0.6185	0.8337	1.4442	1.8573	-0.3202	0.0551	0.0551
5	32	3274.6	0.6171	0.8344	1.4336	1.8593	-0.3231	0.0616	0.0615
5	33	3376.5	0.6133	0.8365	1.4546	1.8826	-0.3564	0.0627	0.0629
5	34	3479.6	0.6128	0.8367	1.4803	1.9099	-0.3961	0.0453	0.0451
5	35	3582.3	0.6079	0.8393	1.4483	1.8732	-0.343	0.0497	0.0512
5	36	3684.7	0.605	0.8409	1.4745	1.9068	-0.3915	0.0359	0.0394
5	37	3787.8	0.6027	0.842	1.4639	1.8947	-0.374	0.0439	0.0475
5	38	3889.3	0.6007	0.8431	1.4795	1.9167	-0.4061	0.0416	0.0469
5	39	3991.5	0.5976	0.8447	1.4626	1.9	-0.3816	0.038	0.0445
5	40	4094.0	0.5842	0.8516	1.4636	1.8966	-0.3767	0.0408	0.0489
5	41	4196.6	0.5794	0.854	1.47	1.9061	-0.3905	0.0414	0.0503
5	42	4298.6	0.5775	0.855	1.4776	1.9162	-0.4054	0.0357	0.0437
5	43	4400.2	0.5756	0.8559	1.4774	1.9138	-0.4018	0.0366	0.0451
5	44	4501.9	0.5741	0.8567	1.4938	1.9366	-0.4354	0.0334	0.0436
5	45	4603.9	0.572	0.8577	1.4793	1.9215	-0.4132	0.0345	0.0411
5	46	4706.4	0.5694	0.859	1.4858	1.9294	-0.4248	0.0324	0.0445
5	47	4808.8	0.5681	0.8596	1.4888	1.9294	-0.4247	0.0311	0.0455
5	48	4911.4	0.5666	0.8604	1.4797	1.9243	-0.4172	0.0355	0.0505
5	49	5013.5	0.5647	0.8614	1.488	1.937	-0.4361	0.0353	0.0515
5	50	5116.5	0.5554	0.8659	1.4785	1.9197	-0.4104	0.0376	0.0511
