Fold	Epoch	Time	RMSE_tr	R2_tr	MAE_te	RMSE_te	R2_te	PCC_te	SCC_te
4	32	5548.1	0.6043	0.7812	0.962	1.2351	-0.0043	0.3858	0.394
4	33	5720.8	0.6009	0.7837	0.9922	1.271	-0.0634	0.3774	0.3839
4	34	5893.8	0.5985	0.7854	0.9792	1.254	-0.0352	0.375	0.386
4	35	6066.3	0.597	0.7865	0.9678	1.2364	-0.0064	0.3773	0.3829
4	36	6239.0	0.5949	0.788	0.9721	1.2443	-0.0192	0.3685	0.3783
4	37	6411.4	0.593	0.7893	0.9768	1.2511	-0.0304	0.3663	0.3748
4	38	6584.7	0.5907	0.7909	0.9697	1.2414	-0.0145	0.3723	0.3806
4	39	6759.8	0.589	0.7922	0.978	1.2527	-0.0331	0.3777	0.3826
4	40	6934.3	0.5769	0.8006	0.9968	1.2771	-0.0737	0.3625	0.3679
4	41	7108.6	0.5741	0.8025	0.9892	1.2682	-0.0588	0.3663	0.3728
4	42	7281.7	0.5716	0.8042	0.9977	1.2795	-0.0778	0.3569	0.3684
4	43	7455.9	0.5704	0.805	1.0015	1.2833	-0.0842	0.3536	0.361
4	44	7630.0	0.5685	0.8064	0.9966	1.2797	-0.0781	0.3585	0.368
4	45	7804.2	0.567	0.8074	0.9979	1.2794	-0.0776	0.3575	0.3664
4	46	7978.7	0.5653	0.8085	0.9979	1.2771	-0.0737	0.3594	0.3677
4	47	8149.7	0.5632	0.81	0.9997	1.2817	-0.0814	0.3579	0.3652
4	48	8305.8	0.5616	0.8111	0.9916	1.2712	-0.0638	0.3583	0.3678
4	49	8461.2	0.5606	0.8117	1.0	1.2817	-0.0814	0.3592	0.3679
4	50	8616.8	0.5524	0.8172	1.002	1.2844	-0.086	0.3562	0.3651
5	1	155.3	1.0872	0.2861	1.0916	1.3555	-0.1496	0.4139	0.3977
5	2	310.7	0.932	0.4753	0.9005	1.1457	0.1787	0.4725	0.4525
5	3	466.7	0.8853	0.5266	0.9185	1.1608	0.157	0.4423	0.4215
5	4	623.1	0.8525	0.561	0.9169	1.1679	0.1466	0.4042	0.4009
5	5	778.9	0.8339	0.58	0.9819	1.2506	0.0215	0.3871	0.3766
