Fold	Epoch	Time	RMSE_tr	R2_tr	MAE_te	RMSE_te	R2_te	PCC_te	SCC_te
3	25	2370.2	0.9567	0.7082	1.5307	1.9828	-0.218	0.1556	0.1691
3	26	2464.8	0.9532	0.7104	1.5714	2.0381	-0.2869	0.1583	0.1707
3	27	2559.9	0.9492	0.7128	1.551	2.0168	-0.2602	0.1508	0.1679
3	28	2655.3	0.9471	0.714	1.5354	1.9878	-0.2243	0.1398	0.1572
3	29	2750.3	0.9446	0.7156	1.5504	2.0074	-0.2485	0.1598	0.1684
3	30	2844.9	0.9191	0.7307	1.5651	2.0265	-0.2723	0.1396	0.1538
3	31	2939.9	0.9119	0.7349	1.5955	2.0666	-0.3232	0.1312	0.1486
3	32	3034.0	0.9096	0.7363	1.5985	2.0738	-0.3324	0.1324	0.1499
3	33	3128.6	0.9068	0.7378	1.6046	2.0803	-0.3407	0.1243	0.1436
3	34	3223.7	0.9026	0.7403	1.6013	2.0737	-0.3323	0.1302	0.1478
3	35	3319.3	0.8989	0.7424	1.5975	2.0694	-0.3267	0.1309	0.1485
3	36	3414.6	0.8976	0.7432	1.608	2.0802	-0.3407	0.1278	0.143
3	37	3509.8	0.8943	0.745	1.5903	2.0592	-0.3138	0.1277	0.1441
3	38	3605.2	0.8916	0.7466	1.6024	2.0773	-0.3369	0.127	0.1457
3	39	3699.3	0.8885	0.7483	1.5996	2.068	-0.325	0.1273	0.1419
3	40	3794.6	0.8725	0.7573	1.6099	2.0842	-0.3458	0.1244	0.1417
3	41	3889.6	0.8692	0.7591	1.6204	2.0965	-0.3618	0.1222	0.1382
3	42	3984.2	0.8663	0.7608	1.6173	2.0922	-0.3562	0.1227	0.1403
3	43	4078.1	0.8643	0.7619	1.6069	2.0787	-0.3388	0.1211	0.1386
3	44	4173.0	0.8621	0.7631	1.6334	2.112	-0.382	0.118	0.1348
3	45	4268.6	0.8604	0.764	1.6146	2.0865	-0.3488	0.1258	0.1416
3	46	4363.8	0.8582	0.7652	1.6236	2.0969	-0.3623	0.1235	0.1396
3	47	4459.2	0.8558	0.7665	1.6307	2.1033	-0.3706	0.1197	0.1346
3	48	4553.9	0.8534	0.7678	1.6432	2.1227	-0.396	0.1246	0.1418
3	49	4648.6	0.8518	0.7687	1.6301	2.108	-0.3768	0.1211	0.1406
3	50	4743.5	0.8414	0.7743	1.6403	2.1197	-0.3921	0.1223	0.1387
4	1	95.2	1.6845	0.0979	1.4037	1.7804	0.003	0.2379	0.2387
4	2	190.2	1.4167	0.3619	1.4241	1.8239	-0.0464	0.2474	0.2364
4	3	284.4	1.3244	0.4423	1.4427	1.8387	-0.0634	0.247	0.2412
4	4	379.9	1.2642	0.4919	1.4513	1.854	-0.0812	0.2351	0.2256
4	5	474.5	1.2283	0.5203	1.5122	1.943	-0.1874	0.2218	0.2166
4	6	569.1	1.2048	0.5385	1.4867	1.8949	-0.1294	0.2289	0.2248
4	7	664.1	1.1842	0.5541	1.4767	1.8862	-0.119	0.2059	0.2132
4	8	759.6	1.1647	0.5688	1.5262	1.9447	-0.1895	0.1865	0.1934
4	9	854.9	1.1504	0.5792	1.4976	1.9293	-0.1708	0.2215	0.2327
4	10	950.0	1.085	0.6257	1.5109	1.9461	-0.1913	0.2205	0.2268
4	11	1045.2	1.0719	0.6347	1.5978	2.0759	-0.3554	0.1937	0.2033
4	12	1139.5	1.0669	0.6381	1.5539	2.0152	-0.2773	0.2192	0.2303
4	13	1234.6	1.0581	0.6441	1.554	2.0218	-0.2858	0.2105	0.2217
4	14	1330.0	1.0537	0.647	1.5205	1.9608	-0.2093	0.2205	0.2259
4	15	1425.2	1.0487	0.6504	1.5076	1.9431	-0.1876	0.2179	0.2285
